Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,avg_aqi
04/28/2018,AQS,370030005,1,0.058,ppm,61,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2647
04/29/2018,AQS,370030005,1,0.047,ppm,44,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2691
04/30/2018,AQS,370030005,1,0.055,ppm,51,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2742
05/01/2018,AQS,370030005,1,0.062,ppm,74,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2816
05/02/2018,AQS,370030005,1,0.066,ppm,87,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2903
05/03/2018,AQS,370030005,1,0.062,ppm,74,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,2977
05/04/2018,AQS,370030005,1,0.062,ppm,74,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3051
05/05/2018,AQS,370030005,1,0.046,ppm,43,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3094
05/06/2018,AQS,370030005,1,0.05,ppm,46,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3140
05/07/2018,AQS,370030005,1,0.056,ppm,54,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,003,Alexander,35.9138000008966,-81.191,3194
